"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TLR2",7.22666317350982e-09,-0.86393255653812,0.353,0.563,0.000187864335858561
"ALCAM",7.87738630696685e-09,0.835591368608886,0.626,0.397,0.00020478053443591
"HSPD1",7.98505427979892e-09,-2.34078302393492,0.241,0.443,0.000207579471057653
"ITGAV",8.18109278600673e-09,0.865718335100753,0.587,0.391,0.000212675688065031
"KIF11",8.65326592024472e-09,0.854451833133359,0.181,0.006,0.000224950300862682
"AC105402.3",8.96327810473261e-09,-0.503311303762769,0.299,0.586,0.000233009377610629
"SRGAP2B",9.13176084634368e-09,-0.721225744459955,0.667,0.805,0.00023738925496155
"BAG3",9.67817103669774e-09,-1.01498937664406,0.037,0.167,0.000251593734269994
"BAZ2B",9.73773460309663e-09,-0.666642773586744,0.641,0.782,0.0002531421487421
"LINC01684",1.08320731151837e-08,-0.777377299375051,0.095,0.27,0.000281590572702314
"MEF2C-AS1",1.14138749174247e-08,-0.888805969274162,0.256,0.46,0.000296715092353372
"CENPF",1.21894118051879e-08,1.07097188332752,0.209,0.023,0.000316875949287665
"KIAA1109",1.35528839858037e-08,-0.643358701761556,0.518,0.707,0.000352320772094954
"MTSS1",1.44310983711975e-08,0.884993613069002,0.669,0.466,0.00037515083325765
"CTTNBP2NL",1.51558675295513e-08,-0.794217366250653,0.286,0.517,0.000393991932298216
"HELLS",1.61754843268906e-08,1.12103486523975,0.314,0.109,0.000420497890561847
"CREM",1.65702114199725e-08,-1.37293260468733,0.174,0.362,0.000430759216073605
"CD86",1.66329670208921e-08,-1.22025041919979,0.295,0.489,0.00043239061067511
"PELI1",1.8840876995293e-08,-0.766024081349371,0.297,0.517,0.000489787438369636
"NCAPG",1.91625323335458e-08,0.803169002598035,0.161,0,0.000498149190542856
"TCF19",1.97643997702212e-08,0.733015120841457,0.172,0.006,0.000513795336426669
"TMEM163",1.99347699497442e-08,-1.22407121027149,0.434,0.592,0.000518224279613549
"AC091057.6",2.00624124321473e-08,1.0889194293421,0.254,0.063,0.0005215424735861
