"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RIMS1",3.77414968301454e-37,-0.416660013455263,0.742,0.904,9.81127951596459e-33
"C1QTNF3-AMACR",3.87350725204619e-37,-0.301314952298444,0.222,0.432,1.00695694524193e-32
"CRLF3",5.73179097590157e-37,0.662438593009536,0.423,0.275,1.49003638209537e-32
"STX7",6.53073915222236e-37,-0.316644505799415,0.279,0.498,1.69773095001172e-32
"LINC01277",6.56987690402432e-37,-0.265543660098374,0.097,0.263,1.70790519997016e-32
"SREBF2",6.97025393288061e-37,0.644497127512798,0.665,0.606,1.81198721239164e-32
"HCN1",7.18668728857272e-37,-0.418084797390701,0.724,0.895,1.86825122753736e-32
"RALGAPA2",8.52293675889069e-37,-0.343728446727228,0.409,0.614,2.21562263984122e-32
"ANKFN1",1.10351325189447e-36,-0.466646161518294,0.142,0.323,2.86869304962486e-32
"NCALD",1.30956355437119e-36,-0.470589517513654,0.581,0.777,3.40434141594335e-32
"CCDC57",1.39321486580773e-36,0.686631664921196,0.622,0.526,3.62180136515378e-32
"CTXND1",1.41716609826392e-36,-0.314252500201115,0.128,0.306,3.68406498904689e-32
"SCAF11",1.75299344278815e-36,-0.317320707606734,0.359,0.584,4.55708175387209e-32
"NRXN3",1.84570462806012e-36,0.379092234246509,0.997,1,4.7980937511051e-32
"SPAG16",1.92167294817503e-36,-0.440913504589553,0.546,0.759,4.99558099607581e-32
"CELF5",1.95976201403913e-36,0.679884452512499,0.745,0.709,5.09459733169613e-32
"AMPH",1.96620487389405e-36,-0.339766326702001,0.514,0.73,5.11134619017498e-32
"ADAM22",2.09615042358317e-36,-0.379664045039021,0.634,0.812,5.44915264114681e-32
"ANKRD7",2.28443525961751e-36,-0.320417585264171,0.197,0.396,5.93861790090168e-32
"LSAMP",2.61160238841379e-36,-0.372805502180063,0.955,0.985,6.78912156892048e-32
"CXXC4",3.01431194777577e-36,-0.278119987805246,0.104,0.27,7.83600533943789e-32
