"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STPG2",7.87877607312519e-11,-0.739333967546943,0.209,0.424,2.04816662796963e-06
"NCAM2",8.01387734738359e-11,-0.443056692221732,0.791,0.933,2.08328755522584e-06
"RETREG1",8.35008639240887e-11,0.648473931423889,0.335,0.17,2.17068845857061e-06
"AC115622.1",8.63147224603631e-11,-0.618757795634783,0.039,0.213,2.2438375250796e-06
"ALOX12-AS1",8.64553902157881e-11,-0.462058137906033,0.228,0.466,2.24749432404963e-06
"FN1",9.74363772527469e-11,1.03494599444582,0.236,0.097,2.53295606306241e-06
"SLC22A5",1.06405487747328e-10,-0.459411848325985,0.059,0.249,2.76611705947955e-06
"DGKB",1.08973812265756e-10,-0.852621182934596,0.11,0.307,2.83288322366058e-06
"RPL34-AS1",1.11854151641738e-10,-0.470563601582789,0.028,0.198,2.90776052607863e-06
"TESK2",1.16586032361558e-10,-0.626232422428362,0.213,0.434,3.03077049727106e-06
"CLMN",1.23241676459328e-10,-0.617406747375032,0.161,0.37,3.20379062123669e-06
"CRELD1",1.28326763549393e-10,-0.516037636868786,0.106,0.31,3.33598254523003e-06
"TSHZ1",1.29099477419978e-10,-0.576330135448032,0.161,0.366,3.35607001500974e-06
"CA8",1.30097770702875e-10,-0.561625019764086,0.268,0.498,3.38202164719195e-06
"SFXN5",1.3076538526469e-10,-0.468271906976069,0.776,0.908,3.39937695534087e-06
"ZCCHC24",1.3299760798368e-10,-0.572414248032652,0.315,0.56,3.45740581714375e-06
"GNA14",1.39246707917155e-10,0.885719495211779,0.894,0.848,3.61985741901435e-06
"ENTPD1-AS1",1.40395773158949e-10,-0.366193214071623,0.315,0.521,3.64972851904003e-06
"ABCA3",1.41691075388953e-10,-0.624816250448631,0.209,0.423,3.68340119581123e-06
"BBOX1",1.43620844862526e-10,-0.54679172613708,0.161,0.378,3.73356748304622e-06
"WDR7",1.59982299119055e-10,-0.407079911547935,0.283,0.52,4.15889984789894e-06
"ANKRD26",1.63637336876871e-10,-0.552018119215659,0.291,0.515,4.25391620945113e-06
"ATP13A4",1.74253211935413e-10,-0.426557716856264,0.413,0.698,4.52988649747298e-06
"HERC4",1.8142494133685e-10,-0.49471701355157,0.449,0.675,4.71632277499276e-06
"LINC01473",1.81572168148448e-10,-0.488267925987792,0.063,0.247,4.72015008318705e-06
"MEGF11",1.82252868215481e-10,0.974471527958869,0.244,0.102,4.73784556212965e-06
"PTPRA",1.85507692709943e-10,0.571146729221061,0.685,0.568,4.82245797968767e-06
"NR2F1-AS1",1.89008780094257e-10,-0.49720221452785,0.382,0.649,4.9134722473303e-06
"WARS",1.89046635339212e-10,1.7674251435922,0.402,0.249,4.91445633227816e-06
"CD151",1.90169956798316e-10,0.467603124247331,0.118,0.028,4.94365819692901e-06
"FAM198B-AS1",1.94707890417085e-10,-0.720852507390373,0.094,0.276,5.06162631928255e-06
"PPA2",1.95046955538464e-10,-0.48077530418839,0.217,0.442,5.0704406561779e-06
